date,region,product,price_per_unit,marketing_spend,units_sold,customer_satisfaction
2019-02-27,South,Beta,18.45,992.43,12,4.72733860393979
2019-02-28,South,Beta,11.35,702.45,20,4.197433679148614
2019-03-04,South,Alpha,46.2,386.3,5,4.344827030800381
2019-03-06,West,Gamma,13.3,844.15,17,3.1505857249068767
2019-03-10,West,Delta,24.51,389.99,3,4.478682946903285
2019-03-13,East,Delta,39.44,798.4,13,4.115860936947136
2019-03-17,West,Beta,31.7,700.62,13,4.817844159052002
2019-03-22,North,Beta,37.2,237.69,7,4.692963185374944
2019-03-22,West,Delta,38.38,115.64,1,3.94783400752325
2019-03-27,North,Beta,19.08,689.22,4,4.480741053713362
2019-03-27,West,Alpha,19.81,162.33,0,4.126107073389958
2019-03-29,West,Alpha,49.05,187.65,5,4.492515328591041
2019-04-02,South,Alpha,34.32,339.27,0,4.4006967691433685
2019-04-02,East,Gamma,10.14,179.7,2,4.31204522879412
2019-04-04,East,Beta,12.28,526.9,10,4.356555873659501
2019-04-06,East,Alpha,33.68,321.46,3,4.132055373057453
2019-04-06,East,Gamma,33.14,805.46,0,3.7646990218964014
2019-04-09,East,Beta,25.95,351.73,0,4.746146861177547
2019-04-09,South,Gamma,28.22,763.46,4,3.7616933927103293
2019-04-09,North,Gamma,15.35,367.62,8,3.9161761275917337
2019-04-09,South,Delta,47.49,428.32,6,3.7451295028654346
2019-04-09,East,Delta,31.92,607.1,4,4.21734691285948
2019-04-10,South,Delta,23.72,247.32,13,4.056015932998725
2019-04-10,North,Alpha,44.01,633.63,4,3.7432486687149025
2019-04-13,West,Alpha,39.91,842.62,10,3.9372301266851677
2019-04-13,North,Gamma,28.74,445.46,2,3.9634922932525947
2019-04-14,North,Delta,46.85,407.51,0,4.464014419971497
2019-04-14,East,Delta,12.17,572.95,14,4.151108580713415
2019-04-16,North,Delta,10.95,408.39,5,4.145419306367962
2019-04-16,West,Beta,19.49,195.12,4,5.0
2019-04-17,East,Gamma,27.37,312.21,7,3.9930585087895003
2019-04-22,East,Gamma,13.51,315.15,0,3.918652517365985
2019-04-23,West,Delta,17.48,882.33,12,4.68349990874849
2019-04-23,East,Alpha,31.13,792.95,5,4.1077276848327
2019-04-23,North,Gamma,26.03,789.99,1,3.187300196672215
2019-04-26,North,Beta,44.06,253.6,2,4.691922956495564
2019-04-27,North,Gamma,45.33,132.01,1,4.110397241114623
2019-04-28,West,Beta,32.55,470.92,6,4.495885170190119
2019-04-30,North,Beta,28.46,878.22,4,4.627653852890946
2019-04-30,South,Beta,41.96,134.22,0,4.729103979654378
2019-05-02,North,Delta,38.9,435.56,0,4.204751762093557
2019-05-03,East,Alpha,42.38,836.84,3,4.275056577850062
2019-05-04,East,Gamma,28.32,409.2,4,4.240581738949877
2019-05-05,South,Gamma,22.8,686.54,8,3.7123441939225335
2019-05-07,South,Delta,31.76,557.72,0,3.8200945423456196
2019-05-08,West,Alpha,48.4,656.25,0,4.326163532768436
2019-05-09,West,Alpha,8.07,413.72,11,4.625113146284285
2019-05-10,North,Gamma,31.48,668.81,0,4.0605424306365965
2019-05-11,North,Gamma,34.8,704.4,8,3.70310718263092
2019-05-11,West,Delta,45.98,803.61,0,4.615649844402797
2019-05-11,East,Alpha,29.83,696.36,6,5.0
2019-05-15,East,Gamma,47.99,385.48,12,4.276916627822414
2019-05-15,South,Alpha,30.19,579.23,0,3.6748567450039493
2019-05-19,East,Beta,37.47,879.79,4,4.97193961580775
2019-05-23,South,Alpha,12.24,434.27,7,4.142011751207788
2019-05-24,West,Alpha,38.08,779.35,2,4.090635256039493
2019-05-24,North,Alpha,41.03,636.18,5,4.568373303773127
2019-05-27,East,Beta,33.03,712.12,3,3.929542895191926
2019-05-28,West,Delta,38.65,307.75,3,4.600110253452424
2019-05-30,South,Beta,48.86,829.62,6,4.0608571826780295
2019-05-31,West,Beta,7.0,400.21,10,4.417891171130285
2019-06-01,North,Gamma,43.9,331.34,5,4.123830296060797
2019-06-02,North,Alpha,44.56,948.15,5,4.585907244143571
2019-06-03,West,Alpha,34.26,109.38,8,4.353739954857116
2019-06-04,South,Alpha,30.32,464.32,4,4.008116212206685
2019-06-06,North,Gamma,20.92,640.55,10,3.814082437950967
2019-06-07,North,Alpha,41.85,349.98,0,3.96584407011966
2019-06-09,West,Delta,49.62,207.85,0,3.905212382066305
2019-06-09,South,Gamma,31.9,672.46,5,3.7396752049623094
2019-06-09,South,Alpha,49.97,907.04,12,3.5342867615244815
2019-06-10,South,Beta,37.91,338.85,2,4.7049218588651875
2019-06-10,South,Delta,37.44,456.99,4,3.9279487456759066
2019-06-10,East,Alpha,30.03,451.94,10,4.240073816565434
2019-06-11,North,Gamma,41.68,759.61,0,4.00251867442213
2019-06-12,West,Alpha,15.29,807.65,10,4.457332382098548
2019-06-16,North,Beta,21.34,602.33,2,4.369904016959283
2019-06-20,North,Beta,7.32,743.94,15,4.706737892478298
2019-06-21,South,Gamma,41.97,942.8,9,3.5796366683781065
2019-06-25,North,Alpha,11.91,448.37,7,4.502893017999273
2019-06-29,North,Gamma,43.08,346.41,0,3.7833513440074276
2019-06-30,North,Beta,42.8,778.83,8,4.745838307026195
2019-07-03,West,Gamma,15.38,406.98,10,3.4827586423412566
2019-07-06,North,Beta,31.88,655.44,0,5.0
2019-07-07,North,Delta,42.71,791.67,1,4.078089956054359
2019-07-08,East,Gamma,26.64,563.19,11,4.274734437396449
2019-07-09,South,Gamma,38.12,327.28,6,3.389487720562537
2019-07-09,South,Gamma,44.82,840.86,0,4.034358430823023
2019-07-09,South,Alpha,35.62,319.13,0,3.5959712773708707
2019-07-10,North,Alpha,48.35,167.17,0,4.852743713370163
2019-07-11,North,Gamma,34.14,171.97,5,3.845698158402116
2019-07-11,East,Beta,44.94,629.57,0,5.0
2019-07-14,North,Gamma,10.21,749.28,10,4.444002361573665
2019-07-15,South,Gamma,47.36,545.91,0,4.012360036407391
2019-07-17,East,Gamma,48.08,338.41,9,4.239032921708246
2019-07-20,West,Delta,11.96,882.01,8,3.7222542450557263
2019-07-20,East,Gamma,14.73,430.26,3,3.9530149534518393
2019-07-21,South,Delta,27.41,246.14,6,3.823504600688778
2019-07-22,North,Delta,42.7,114.24,0,4.258630431737472
2019-07-23,West,Gamma,34.4,537.41,0,3.7188138261416186
2019-07-25,West,Beta,28.06,717.37,4,4.6439362328952525
2019-07-26,West,Beta,36.08,588.13,11,4.2925147290543295
2019-07-27,North,Beta,30.71,319.29,0,4.894945663275958
2019-08-03,West,Alpha,45.38,471.73,0,4.133237449225681
2019-08-05,West,Beta,30.8,878.15,9,4.4909485000112594
2019-08-06,South,Alpha,19.95,928.27,9,4.267776855134306
2019-08-06,East,Delta,19.16,251.6,6,4.1991778041549885
2019-08-08,East,Gamma,21.73,888.49,8,4.292544659072507
2019-08-08,East,Alpha,44.23,906.23,14,4.388438051743378
2019-08-08,North,Alpha,9.93,260.6,3,3.8470921722239337
2019-08-11,South,Beta,33.29,935.49,12,4.5997989133719255
2019-08-13,South,Gamma,10.6,307.22,8,3.8469686635040463
2019-08-13,West,Gamma,28.86,570.23,0,3.4588575858391333
2019-08-13,North,Beta,5.01,201.07,13,4.128701993297598
2019-08-14,North,Alpha,39.69,846.4,10,3.6277978640740756
2019-08-15,South,Gamma,36.45,411.69,9,3.993115410650991
2019-08-18,East,Delta,38.92,617.65,15,3.913004147252436
2019-08-19,North,Beta,12.29,494.36,4,4.634040711014642
2019-08-19,West,Beta,26.65,979.05,6,4.730502884845844
2019-08-19,West,Gamma,34.1,594.47,6,3.9773064669679625
2019-08-21,West,Alpha,6.69,424.7,25,4.2323085016940345
2019-08-21,East,Gamma,44.73,118.02,0,4.2985986701189915
2019-08-22,North,Alpha,13.35,102.33,0,4.29530438151335
2019-08-25,North,Alpha,31.89,481.87,0,4.389138205635821
2019-08-29,North,Gamma,39.16,234.09,0,3.652992238626473
2019-08-30,West,Gamma,43.75,146.53,6,3.9668652736992507
2019-08-31,North,Beta,26.29,959.19,12,4.45844212166996
2019-09-01,East,Gamma,33.93,421.06,2,4.4902211917664046
2019-09-03,West,Beta,9.1,259.2,13,4.369606473062942
2019-09-04,East,Delta,7.92,501.21,11,4.4205477562102
2019-09-04,South,Delta,37.62,978.39,9,3.9949884698461657
2019-09-09,North,Delta,11.3,329.78,9,3.926018889226122
2019-09-10,West,Delta,6.41,804.43,30,3.3001486598427254
2019-09-10,South,Beta,41.31,497.82,5,4.159217978573566
2019-09-11,South,Beta,14.16,185.51,9,4.1819171687954215
2019-09-11,West,Beta,28.97,370.77,5,4.44546741723512
2019-09-11,South,Beta,9.76,442.82,11,4.3189537682669545
2019-09-13,North,Beta,45.93,259.99,0,4.545771853061331
2019-09-15,North,Delta,22.8,332.59,7,4.100805602226433
2019-09-16,East,Beta,34.77,814.07,4,4.7545760309669145
2019-09-20,West,Gamma,46.92,671.46,3,3.5405148045107517
2019-09-21,North,Beta,30.69,168.78,0,4.565011020279881
2019-09-25,East,Beta,20.14,758.76,13,4.782717610885348
2019-09-26,North,Beta,8.71,900.45,16,5.0
2019-09-27,North,Gamma,8.02,269.51,11,3.7335384861687726
2019-09-28,North,Beta,26.65,852.4,2,4.562881499119848
2019-09-28,North,Beta,23.24,757.75,2,4.347279855238961
2019-09-29,East,Alpha,40.27,174.36,0,3.654020720398974
2019-10-01,North,Gamma,6.54,585.92,21,3.5897696431629207
2019-10-04,East,Gamma,36.89,385.78,3,4.011861004957761
2019-10-04,North,Beta,30.05,638.84,1,4.970713521789651
2019-10-04,East,Beta,13.69,585.76,14,4.75124216156103
2019-10-07,North,Delta,22.28,914.97,3,4.191804319405368
2019-10-07,East,Beta,43.44,608.0,8,4.069480893068153
2019-10-10,North,Delta,47.63,225.28,13,4.332583818888627
2019-10-10,North,Gamma,30.76,819.8,11,4.013318298696491
2019-10-11,North,Delta,7.61,842.68,26,4.247442519104582
2019-10-12,North,Alpha,38.49,530.43,1,3.8778628014821113
2019-10-15,South,Delta,14.02,863.21,12,4.205852352407981
2019-10-16,North,Alpha,23.83,638.68,6,4.327762184648087
2019-10-16,North,Delta,26.77,685.46,6,4.6894085143906725
2019-10-21,West,Beta,7.11,403.5,14,4.433828259755748
2019-10-23,North,Delta,16.99,980.77,13,4.214676481743475
2019-10-25,West,Gamma,6.59,179.89,4,3.997257324045533
2019-10-29,South,Gamma,18.43,536.14,8,3.6899552855312234
2019-10-31,South,Gamma,7.2,101.11,13,3.371506228158589
2019-11-01,East,Gamma,47.87,960.6,12,4.322824988536077
2019-11-05,South,Gamma,13.83,686.91,9,3.700848013882812
2019-11-10,South,Gamma,37.48,652.67,10,3.6110624412559034
2019-11-10,North,Beta,49.49,311.21,7,4.122219674696917
2019-11-12,North,Delta,39.82,210.67,0,3.891359230603516
2019-11-14,South,Beta,25.79,436.16,0,4.434882709021549
2019-11-17,East,Beta,31.92,850.87,8,4.787844494989262
2019-11-19,North,Alpha,43.58,722.46,0,3.7154958221718184
2019-11-19,East,Gamma,19.43,298.72,4,3.653254964971521
2019-11-21,West,Alpha,29.45,993.17,0,5.0
2019-11-22,North,Beta,28.63,498.17,6,4.619828667896732
2019-11-27,East,Beta,28.51,579.03,6,4.929893004818319
2019-11-27,South,Beta,28.7,162.22,0,4.038245405322439
2019-12-02,South,Beta,6.32,891.34,23,4.15617257748522
2019-12-04,North,Alpha,33.49,319.73,10,4.176915569208701
2019-12-04,South,Delta,22.6,426.65,0,4.173406413909529
2019-12-04,South,Alpha,5.23,886.0,42,3.33773088241292
2019-12-06,North,Alpha,25.48,936.65,2,4.937930676691963
2019-12-06,North,Beta,40.09,262.01,2,4.138489000309569
2019-12-07,East,Gamma,8.67,240.97,0,3.957746253026106
2019-12-08,South,Delta,39.07,453.15,3,4.536171003783071
2019-12-10,East,Beta,39.69,619.47,4,4.5506490342586
2019-12-10,North,Gamma,27.75,380.93,9,3.757962571910292
2019-12-12,South,Alpha,17.66,253.43,3,3.5615331468247553
2019-12-12,East,Beta,45.38,344.03,9,4.797839986262899
2019-12-12,West,Delta,47.82,821.92,6,4.186365564081714
2019-12-12,West,Alpha,14.88,676.0,8,4.443671934281766
2019-12-14,North,Beta,21.41,745.87,16,4.398749188979951
2019-12-15,North,Delta,28.72,272.6,0,4.143227914282243
2019-12-15,South,Delta,28.19,702.64,3,3.554574185116849
2019-12-16,East,Gamma,8.26,447.71,0,4.386582642871234
2019-12-20,East,Beta,19.67,681.48,14,4.79181301810809
2019-12-23,West,Gamma,42.82,438.39,0,4.240939677883186
2019-12-25,East,Beta,38.2,266.71,0,4.924938433426842
2019-12-31,East,Delta,40.5,531.42,0,3.760160820557383
2020-01-02,West,Alpha,30.46,192.98,0,4.4790768468725854
2020-01-05,North,Gamma,42.1,505.56,3,3.7324455773718337
2020-01-08,North,Beta,12.15,115.92,4,5.0
2020-01-08,North,Delta,42.79,464.52,0,4.241096693158487
2020-01-09,South,Delta,8.15,634.18,9,4.110674986286892
2020-01-10,South,Gamma,24.45,301.25,1,3.8116095630685347
2020-01-12,East,Alpha,23.2,873.47,5,4.5064146633314115
2020-01-14,West,Beta,17.15,788.67,15,4.257541924484873
2020-01-15,North,Gamma,21.16,262.54,8,3.1709423618531187
2020-01-15,North,Beta,23.2,201.8,0,4.933515570257256
2020-01-20,East,Delta,24.85,210.9,0,4.018178264859845
2020-01-20,West,Alpha,48.04,285.57,0,4.175834432454233
2020-01-21,West,Gamma,37.95,704.28,5,3.890485774386079
2020-01-21,East,Beta,30.62,108.13,2,4.778566302870366
2020-01-21,East,Alpha,29.45,418.81,6,4.301164559552479
2020-01-22,South,Beta,5.15,828.58,29,4.50639008563481
2020-01-23,South,Alpha,23.11,975.79,1,4.044879243422066
2020-01-23,West,Gamma,42.38,130.77,3,3.957131332949868
2020-01-25,North,Delta,34.03,328.8,0,4.156888436991635
2020-01-27,North,Beta,19.69,706.87,5,4.327821985971663
2020-01-27,North,Beta,22.85,181.43,6,4.711650604441628
2020-01-28,East,Gamma,40.55,550.4,0,4.0424882258308585
2020-01-28,South,Gamma,14.17,533.47,0,3.231937339645863
2020-01-28,South,Gamma,32.75,448.84,0,3.81671637849845
2020-02-02,South,Delta,48.29,783.41,0,4.129352708266482
2020-02-02,North,Delta,16.64,457.46,13,4.398494500637706
2020-02-04,East,Gamma,16.14,278.97,0,4.356546009644607
2020-02-05,South,Beta,21.95,227.15,4,4.477332584061562
2020-02-05,East,Alpha,10.42,642.9,8,4.945760482655305
2020-02-06,East,Alpha,35.74,219.44,3,4.680985810102139
2020-02-07,North,Beta,40.91,674.16,5,4.448303092018767
2020-02-07,West,Alpha,49.84,676.15,0,4.134667925282434
2020-02-08,North,Gamma,29.47,183.64,0,3.6621917153441763
2020-02-11,North,Gamma,20.82,395.54,8,3.9529461931087875
2020-02-11,North,Gamma,45.65,454.93,7,4.451282019919413
2020-02-12,South,Beta,18.24,811.3,7,4.479182466266975
2020-02-15,East,Alpha,44.45,178.34,0,4.549697683070559
2020-02-18,South,Delta,20.27,872.19,11,3.4501973332774325
2020-02-19,North,Alpha,43.35,622.43,9,4.4461493320660574
2020-02-20,North,Delta,38.45,498.45,0,4.072329738610016
2020-02-23,West,Delta,11.08,198.2,3,3.89697667012361
2020-02-24,South,Alpha,20.03,205.88,6,4.310188976949707
2020-02-26,East,Alpha,15.74,304.62,0,4.304112602622657
2020-03-03,South,Gamma,26.2,719.39,6,3.662720769035359
2020-03-07,South,Alpha,27.2,654.85,0,3.9835574095247566
2020-03-10,West,Gamma,32.71,334.64,0,3.7273552322528207
2020-03-11,North,Alpha,29.05,519.23,2,4.817772331105712
2020-03-13,North,Alpha,39.69,645.73,0,3.7752339870969367
2020-03-14,West,Alpha,23.07,752.07,8,4.322296876087484
2020-03-17,North,Beta,39.55,546.44,4,4.916399973630629
2020-03-17,East,Gamma,22.92,330.08,7,4.786684246913961
2020-03-19,South,Alpha,11.57,948.55,8,4.0857069400801596
2020-03-22,East,Beta,12.38,804.24,15,4.961934077697587
2020-03-28,North,Delta,5.94,202.56,5,3.760575916620917
2020-03-28,North,Alpha,9.93,527.4,7,4.563752890430328
2020-03-28,West,Beta,43.36,209.59,0,4.182206213664677
2020-03-30,West,Alpha,49.34,626.2,1,4.465498015824333
2020-03-31,South,Beta,24.21,482.07,1,4.8235049289963365
2020-03-31,South,Beta,27.39,240.55,0,4.423142753168337
2020-04-03,East,Delta,41.03,493.45,6,4.012051600925905
2020-04-04,West,Gamma,41.24,313.33,6,3.698286409037078
2020-04-04,East,Alpha,17.75,120.6,2,4.392417204162737
2020-04-05,South,Beta,48.12,922.81,6,3.733652548224894
2020-04-06,East,Beta,48.55,499.98,2,4.291146279691324
2020-04-06,West,Gamma,37.41,311.11,1,3.965028517108308
2020-04-08,South,Beta,16.71,848.68,14,4.046585061473171
2020-04-11,North,Alpha,17.25,561.35,6,4.501311103803942
2020-04-14,North,Gamma,5.83,238.41,6,3.6527823475382966
2020-04-15,North,Beta,15.15,138.37,4,4.491887606025879
2020-04-16,East,Alpha,24.67,644.46,3,4.688878240918192
2020-04-16,West,Alpha,8.98,257.3,12,4.155642900046881
2020-04-17,West,Alpha,30.23,459.91,13,4.388909955813775
2020-04-17,North,Alpha,48.26,842.76,3,4.410545081001098
2020-04-17,West,Alpha,26.45,501.72,0,4.537860026156743
2020-04-18,North,Delta,29.41,568.69,20,3.5517576937841024
2020-04-18,West,Gamma,10.59,194.83,8,3.7511361267621677
2020-04-19,North,Beta,40.68,298.96,7,5.0
2020-04-19,South,Beta,47.5,503.9,0,4.317865890494084
2020-04-20,East,Gamma,8.91,629.1,15,3.978061333631191
2020-04-21,East,Beta,45.53,579.02,0,4.766293832558886
2020-04-21,West,Gamma,28.87,323.72,1,4.102719588814198
2020-04-21,East,Delta,16.36,866.3,18,4.521211940578247
2020-04-25,North,Alpha,8.36,699.68,5,4.351604709704755
2020-04-29,South,Beta,49.13,529.03,13,4.831328769793166
2020-04-29,West,Alpha,33.11,734.85,4,4.445456140831772
2020-05-02,East,Alpha,29.89,161.84,0,4.578266719404629
2020-05-03,West,Gamma,45.27,271.29,5,3.8725809108420712
2020-05-04,East,Gamma,29.29,933.11,5,4.146295137990884
2020-05-04,South,Delta,26.22,688.67,14,3.8305582119139556
2020-05-06,East,Gamma,31.78,459.14,4,4.28849207764135
2020-05-07,East,Delta,39.69,815.96,0,4.386437871018311
2020-05-11,South,Delta,32.28,589.61,8,2.9894494597551677
2020-05-11,North,Gamma,17.23,600.97,5,3.957498267520435
2020-05-11,North,Gamma,42.17,290.58,5,3.7802544621448915
2020-05-13,West,Alpha,32.47,994.0,5,4.401865864895235
2020-05-17,East,Gamma,41.33,678.32,0,4.169494404645194
2020-05-17,North,Gamma,20.5,684.17,7,4.13656458549519
2020-05-18,West,Beta,8.78,665.16,13,4.832097123893551
2020-05-19,North,Gamma,36.68,580.16,9,3.8440910790369043
2020-05-20,North,Alpha,48.54,712.88,2,4.229989813370939
2020-05-20,North,Delta,34.26,180.66,3,4.6944737494445565
2020-05-23,North,Beta,13.19,457.64,20,4.309879526958379
2020-05-24,West,Delta,44.67,558.75,6,3.9853571235683893
2020-05-24,North,Gamma,28.51,866.06,3,4.236971797447146
2020-05-25,East,Gamma,23.29,231.18,10,4.151636411700633
2020-05-25,North,Alpha,42.18,680.76,6,4.463956789291611
2020-05-25,North,Alpha,25.85,633.53,2,4.484509058131696
2020-05-26,East,Delta,22.26,209.83,9,4.36611447483641
2020-05-26,East,Gamma,32.33,666.37,0,4.31027771463113
2020-05-27,South,Alpha,47.63,948.08,5,4.193889210821072
2020-05-30,South,Alpha,28.13,704.31,10,3.9841311983751986
2020-05-30,South,Gamma,35.42,555.5,0,3.8880415519439233
2020-06-01,North,Beta,26.08,642.3,9,3.956989802758792
2020-06-04,South,Alpha,9.07,700.27,23,4.401586520317135
2020-06-05,North,Gamma,48.24,449.79,7,3.7242553022226796
2020-06-08,South,Delta,31.47,487.78,6,3.8539155359295347
2020-06-08,East,Gamma,46.03,623.93,0,3.897913057689979
2020-06-21,South,Alpha,40.86,476.72,8,3.570544600683006
2020-06-24,South,Gamma,35.15,569.11,2,3.8305551342448663
2020-06-30,West,Gamma,25.07,309.3,0,3.4382713614633382
2020-06-30,South,Delta,8.5,636.84,17,4.223562955668358
2020-07-04,West,Beta,25.58,440.63,0,4.373237666878489
2020-07-04,East,Alpha,23.15,139.36,11,4.89778940228557
2020-07-07,South,Alpha,8.9,862.45,16,3.8595451626072865
2020-07-09,West,Gamma,7.47,703.09,23,4.331837352931014
2020-07-09,East,Beta,28.83,945.84,3,4.575237912685722
2020-07-10,West,Delta,13.67,531.26,0,4.045040390201866
2020-07-13,East,Alpha,26.8,594.65,8,4.718414658728952
2020-07-14,South,Alpha,48.32,397.8,8,3.790679865009516
2020-07-15,East,Alpha,36.45,390.82,8,4.44916522875499
2020-07-16,North,Gamma,12.82,382.35,0,3.9399771701583832
2020-07-16,South,Gamma,10.52,441.42,14,3.8033831354858014
2020-07-17,South,Beta,37.58,573.96,10,4.488614758240091
2020-07-17,North,Delta,9.13,371.85,11,3.6329709962363825
2020-07-18,East,Delta,48.85,302.23,10,4.102926819850758
2020-07-19,South,Delta,22.62,381.04,0,3.836344070554969
2020-07-19,South,Delta,24.9,306.01,9,3.9740159745344426
2020-07-19,West,Alpha,23.98,569.56,8,4.457553946034249
2020-07-20,North,Beta,44.44,644.98,7,4.72182555910487
2020-07-23,South,Gamma,34.56,873.61,11,3.7171781718597705
2020-07-23,West,Delta,19.04,309.38,10,4.303322937265324
2020-07-25,North,Alpha,26.71,937.29,2,4.179682344962684
2020-07-25,South,Alpha,5.23,480.42,23,4.510616546204778
2020-07-27,West,Alpha,10.19,275.1,5,4.390718860847193
2020-07-27,South,Gamma,23.58,667.19,1,3.6246989660151256
2020-07-28,North,Beta,33.75,198.03,0,4.973216168758656
2020-07-28,West,Alpha,25.91,878.19,9,4.271799240119244
2020-07-31,South,Delta,10.42,442.07,7,3.889368474943607
2020-08-02,North,Beta,39.05,551.04,1,4.793684642250921
2020-08-03,East,Beta,24.74,305.06,5,4.512687525333078
2020-08-09,North,Gamma,12.08,243.37,15,3.6206197260851205
2020-08-15,North,Beta,47.72,777.18,3,4.550675067861585
2020-08-23,East,Delta,34.74,847.48,9,4.203152660876017
2020-08-23,South,Gamma,20.53,988.02,5,3.0785458582990364
2020-08-26,North,Gamma,6.85,771.59,20,3.9426167434782
2020-08-29,South,Beta,39.78,657.55,0,4.674368787432376
2020-08-30,West,Gamma,7.37,681.95,11,3.9366855858573615
2020-08-30,North,Alpha,27.72,111.44,1,4.430824586538175
2020-08-31,East,Delta,26.31,957.52,5,4.343378350988945
2020-08-31,South,Alpha,33.34,461.07,5,3.3650008717309
2020-09-01,South,Beta,6.65,795.36,34,4.6163998936129556
2020-09-02,South,Gamma,19.81,965.5,8,3.7324264498472774
2020-09-03,North,Delta,14.93,199.73,6,3.5969274578092234
2020-09-04,East,Alpha,18.37,234.73,2,4.679474812388985
2020-09-04,West,Alpha,9.63,828.0,10,3.8799836673521355
2020-09-04,North,Gamma,5.11,591.12,26,3.7347266452335437
2020-09-06,East,Gamma,8.4,669.29,13,4.245788684878181
2020-09-11,South,Delta,38.53,570.78,7,4.054725635135261
2020-09-11,West,Alpha,14.47,327.75,4,4.761199012857741
2020-09-15,West,Alpha,16.37,468.53,8,4.347538899476424
2020-09-16,North,Gamma,12.22,156.8,0,3.867307172311395
2020-09-16,West,Alpha,43.38,481.55,0,3.971493538129921
2020-09-17,East,Delta,38.56,690.15,0,4.301943845266215
2020-09-19,South,Alpha,29.23,365.75,0,4.1552631327436815
2020-09-19,West,Delta,16.04,556.15,10,3.578273580804113
2020-09-24,West,Gamma,41.18,266.13,0,4.136859186120142
2020-09-25,North,Delta,47.08,973.67,10,4.309287011219731
2020-09-27,North,Beta,21.1,894.21,3,4.833386431837826
2020-09-29,West,Delta,16.65,331.2,2,3.8282240008461046
2020-09-29,East,Delta,40.25,419.36,0,4.8098897249932735
2020-09-30,South,Delta,37.17,812.88,0,3.6588773322405737
2020-10-01,East,Beta,34.0,622.84,12,5.0
2020-10-01,West,Alpha,5.41,290.78,11,4.619054460543999
2020-10-01,West,Delta,43.71,147.1,0,3.488590895951119
2020-10-02,West,Gamma,17.28,995.93,9,3.225149846100236
2020-10-02,North,Gamma,32.58,515.75,7,3.6316401932590834
2020-10-03,South,Beta,7.03,581.82,18,4.266212851221164
2020-10-04,East,Beta,5.24,113.2,16,4.70143952746118
2020-10-07,North,Delta,23.98,249.7,3,3.8879428597819405
2020-10-08,North,Beta,20.11,501.73,13,3.8429537589376364
2020-10-09,West,Alpha,42.67,243.36,0,4.317739542337977
2020-10-10,East,Gamma,23.79,834.17,3,3.9850749759342303
2020-10-13,West,Beta,48.3,983.11,15,4.552002427114067
2020-10-15,North,Alpha,30.13,158.16,9,4.379151701274668
2020-10-16,South,Delta,36.19,772.19,2,4.397375780493056
